Twitter handle/screen name	Number of followers	Number following	Location	Link	Description	Created_At	Statuses_Count	Favourites_Count	Default_Profile	Default_Profile_Image
Kate_Smith394	475	1295	STL	https://twitter.com/Kate_Smith394	"Avid Dog Lover Fighter ▪Foodie▪ ▪️Cher Crew▪️Saw Cher in concert on June 4, 2014 •Liberal•"	4/28/13 1:00	6957	6334	FALSE	FALSE
campuschic	474	542	"St. Louis, MO"	https://twitter.com/campuschic	"Obsessed with my family, DIY, decorating, camping, good TV & travel. I work at an amazing company, AT&T, you should join me. All opinions are mine."	6/30/09 18:54	1270	1316	FALSE	FALSE
Dreamer4654	0	78		https://twitter.com/Dreamer4654		2/27/19 4:08	2	4	TRUE	FALSE
pgu1103	363	1849		https://twitter.com/pgu1103	"Marketing pro, yoga enthusiast, animal lover, foodie, gourmet chef hobbyist"	2/23/11 2:24	635	703	FALSE	FALSE
Signatrue	3666	4632		https://twitter.com/Signatrue	Official Signatrue: Home of The Signatrue Series. Contact: signatrue@signatrueclothing.com. http://t.co/XOWOpind03!	6/10/11 0:07	4008	23593	FALSE	FALSE
esotoruiz1	407	5003	San Antonio TX 	https://twitter.com/esotoruiz1	"Humanista, Profesional Corporativo de Recursos Humanos,  Poeta y Escritor, en busca de la solucion de las injusticias, y de la Paz y el amor entre todos"	3/24/18 16:36	164	363	TRUE	FALSE
DacSwan	28	145	Arlington Virginia. 	https://twitter.com/DacSwan	Just someone who cares about stuffs. Don't let yesterday take up too much of today. Live happily. Watch me move.	2/23/19 19:10	10	17	TRUE	FALSE
gutimerino	28	60	Irvine	https://twitter.com/gutimerino	#ElectricalEngineer	2/27/12 4:49	4698	2818	FALSE	FALSE
TIMETOGONMP	1054	2850	2020 is coming 	https://twitter.com/TIMETOGONMP	#DEMOCRAT #VOTEBLUE💙 #MSNBC #followthemoney #CROOKEDTRUMP #LYINGtRUMP	3/20/18 14:15	500	170	TRUE	FALSE
KennethWisbach	2	83	Mi	https://twitter.com/KennethWisbach	I'm from Michigan currently on Assignment	2/21/19 6:56	5	2	TRUE	FALSE
rangers3061	264	1008	"New York, USA"	https://twitter.com/rangers3061	"Rangers, Mets, Giants. Proud American, proud Democrat. #NYR #Biden2020 🇺🇸 🏒"	2/15/16 23:57	3206	20869	FALSE	FALSE
NoraClark78	8	74		https://twitter.com/NoraClark78		10/14/13 17:59	144	51	TRUE	FALSE
ThomasJJohnson4	682	2412	"Alabama, USA"	https://twitter.com/ThomasJJohnson4	"I’m a Minister, father, and a man of God with Godly love for all Gods people."	1/12/18 21:52	854	874	TRUE	FALSE
haironfire1	28	576		https://twitter.com/haironfire1		11/13/13 1:09	97	228	TRUE	FALSE
copcrap	75	251	New Hampshire	https://twitter.com/copcrap	"Successful Business Owner, Retired LEO, Republican/Christian and supporter of everything that is morally and Biblically and Constitutionally sound."	4/24/12 11:55	331	273	TRUE	FALSE
tracy59723398	541	1061	"Meriden, CT"	https://twitter.com/tracy59723398	Worked my whole life 2014 got sick end stage renal disease with others Obama care helped Trump solution wouldn’t	7/16/18 17:40	688	149	TRUE	TRUE
Nolimit429	804	2957	United States	https://twitter.com/Nolimit429		1/21/19 21:53	870	2536	TRUE	FALSE
Markedi71453663	40	1038		https://twitter.com/Markedi71453663	Am honest loving and caring man	2/18/19 23:47	20	4	TRUE	FALSE
Hunter74596103	91	4996	"Illinois, USA"	https://twitter.com/Hunter74596103	Be strong and of a good courage because only the weak shall faint before reaching their destination.💪👈	2/18/19 11:46	36	15	TRUE	FALSE
MdAhsan70119339	447	1791	"Dhaka, Bangladesh"	https://twitter.com/MdAhsan70119339	I am a student of BBADepartment of Finance and BankingBegum Rokeya University' Rangpur.	12/17/18 6:21	25	1148	TRUE	FALSE
LinguistLawyer	1292	1261	London	https://twitter.com/LinguistLawyer	"Lawyer (corporate crime & investigations). Ex-EU, ex-UN. Law Society women lawyers. London Irish lawyers."	9/5/09 16:58	3742	6232	FALSE	FALSE
frank05318328	12	563		https://twitter.com/frank05318328		9/3/18 22:35	0	2	TRUE	TRUE
davidlerner3000	94	3347		https://twitter.com/davidlerner3000		2/10/19 20:45	101	852	TRUE	FALSE
lcv2525	1554	2808	United States	https://twitter.com/lcv2525	"Politics, America first, Saxaphone, Lacrosse. #MAGA #KAG"	11/23/18 3:08	556	1674	FALSE	FALSE
BokenoJames	184	297	"Washington, DC"	https://twitter.com/BokenoJames	M.B.A U.S. Army  Command Sergeant Major First Class Political Hawk #Resistance Leader #TruthSeeker #BlueStormRising IFB - F4F	12/6/17 17:05	436	98	FALSE	FALSE
nlmitts	2	21		https://twitter.com/nlmitts		2/25/18 18:50	8	13	TRUE	TRUE
pjucope	100	299	"Mexico & Auxvasse, MO"	https://twitter.com/pjucope	"Attorney, mother of 2 gorgeous and intelligent females, sarcastic sense of humor, fan of Steve Perry & Journey, Andrea Bocelli, and others"	10/21/09 17:14	638	928	FALSE	FALSE
JEANMIC56036261	8	369	"Saint-Malo, France"	https://twitter.com/JEANMIC56036261	je suis un omme sincere honnete	2/11/19 14:17	0	0	TRUE	FALSE
leah1344_	235	478		https://twitter.com/leah1344_	Mizzou Journalism 2022. All opinions are my own.	2/8/14 2:49	677	1621	FALSE	FALSE
JackselfM	7	174		https://twitter.com/JackselfM		12/22/17 19:21	45	297	TRUE	FALSE
DavidWi96686880	43	373		https://twitter.com/DavidWi96686880		2/8/19 21:39	3	261	TRUE	FALSE
Caesar8069	683	3554	"ÜT: 35.510975,-97.51235"	https://twitter.com/Caesar8069	Our love is eternal!!  No matter how many laws you pass against us! Resister for life!! Warrior against the evil & racist Trump agenda!!! #TheResistance #MeToo	4/28/09 16:07	2886	2760	FALSE	FALSE
BeBoldEatPlants	47	388	"Missouri, USA"	https://twitter.com/BeBoldEatPlants	"Disease-reversing, fat-losing, plant-eating, middle-aged woman living her best life with passion while eating a whole foods plant-based diet."	12/31/18 23:59	62	41	FALSE	FALSE
Andrie20132719	229	4803		https://twitter.com/Andrie20132719		1/1/18 12:06	302	684	TRUE	FALSE
brigid_godfrey	382	1704	"Washington, DC"	https://twitter.com/brigid_godfrey	"Likes: Hyperlinks, Semicolons /Dislikes: Patriarchy, Socioeconomic Inequality  / GW 2019 / Opinions = Mine (not yours)"	9/27/15 14:15	1922	8905	FALSE	FALSE
KevinDurantSco1	20	457		https://twitter.com/KevinDurantSco1	Military my passion	2/4/19 18:10	10	21	TRUE	FALSE
PackerWolf1	96	568	Portland o	https://twitter.com/PackerWolf1	I'm a medical doctor and am very proud of my self being a good and lovely caring God fearing man and i do accept people as they are because life's too .	2/2/19 9:59	7	13	TRUE	FALSE
liamrey123	40	222		https://twitter.com/liamrey123	"let’s get political, I have time."	12/22/18 22:48	305	1548	TRUE	FALSE
manchildassisnt	3526	4739	USA	https://twitter.com/manchildassisnt	#theresistance🌊#FBR 🌊🌊#RESIST/mother of 5/Agnostic/Factchecker@Publishing Company/ Liberal/Animal Lover/FUCK mental illness/In the middle of a nervous breakdown	4/4/09 15:29	23054	13175	FALSE	FALSE
PBrods1	1	63		https://twitter.com/PBrods1	Fmr Field Organizer | Turf Cutting King	3/26/18 16:56	0	0	TRUE	TRUE
Millennial_Dems	87501	32303	United States	https://twitter.com/Millennial_Dems	"Resist. Insist. Persist. Enlist. #VoteBlue (Managed by @KaivanShroff, multiple contributors.)"	2/10/16 5:49	14413	11308	TRUE	FALSE
RobertW72332323	331	1628	California	https://twitter.com/RobertW72332323	My work	1/25/19 17:33	155	2917	TRUE	FALSE
Richardscott153	19	487		https://twitter.com/Richardscott153	"Am a gentle and easy going man, not here for games or trouble,i love myself and will like to make friends"	1/18/19 10:10	2	15	TRUE	FALSE
tRumpedPlay	5020	5158	"New York, NY"	https://twitter.com/tRumpedPlay	"We prefer our theatre on the stage, not in the White House! | Get ready to #StickItToThePresident by pledging to our new Kickstarter launching 1/4!"	6/18/18 13:44	170	69	FALSE	FALSE
coffeemother1	5	665		https://twitter.com/coffeemother1		1/16/19 5:17	185	2	TRUE	FALSE
philiplyon1234	11	219	Honolulu 	https://twitter.com/philiplyon1234	I'm a simple man and I love playing with kids and pets a lot	12/22/17 13:51	3	1	TRUE	FALSE
LanceGrey	1195	2597	Missouri	https://twitter.com/LanceGrey	"I am Married to Lydia Grey. I am a Musician, Singer and song writer. The Resistanceagainst LIAR Trump#"	5/1/11 19:21	7908	6839	FALSE	FALSE
emily_carswell	73	202	"Blue Eye, MO"	https://twitter.com/emily_carswell	"my new twitter 💞 I’m opinionated, lover and wife of Joshua, and a soon to be momma of Cloe Addrienne Carswell. If there’s cake, count me in."	1/22/19 3:56	519	4970	TRUE	FALSE
CarahBright	117	441	Columbia MO	https://twitter.com/CarahBright	Missouri Association of Counties Member Relations Director and ex Mo House staff. My thoughts are my own.	1/7/10 2:54	133	96	FALSE	FALSE
alexcalderSTL	210	1215	"Los Angeles CA &  St. Louis, MO"	https://twitter.com/alexcalderSTL	"TV helicopter reporter,  entrepreneur.  https://t.co/ZMTyLa7gCh"	3/28/15 0:45	272	0	TRUE	FALSE
BearcatResists	988	2620	Georgia	https://twitter.com/BearcatResists	"News junkie, activist, Watergate, RESIST Trump at all costs, #TheResistance LOCK TRUMP UP, feminist, boomer & retired educator. WILL BLOCK all debaters."	4/8/17 22:19	35531	31800	TRUE	FALSE
bioreignscbd	40	445	"California, USA"	https://twitter.com/bioreignscbd	#BIOREIGNSAKAN #AKANBIOREIGNS400 sponsor	12/31/18 5:21	375	52	FALSE	FALSE
puggmahone	28	276	"St. Louis, MO"	https://twitter.com/puggmahone	"Expert on local politics, Tip O'Neill said, ""All politics are local"" ⚜️"	9/3/09 23:33	260	284	TRUE	FALSE
pwilson65201	4	73		https://twitter.com/pwilson65201		9/22/11 1:53	1	8	TRUE	TRUE
NordlingJoan	43	245		https://twitter.com/NordlingJoan		10/7/15 4:15	120	2874	TRUE	FALSE
ljbaber	4	40	"Camden Point, MO"	https://twitter.com/ljbaber		2/22/09 0:47	16	19	TRUE	TRUE
nikko_kc	21	70	"Kansas City, MO"	https://twitter.com/nikko_kc	universally-acclaimed piece of garbage	1/6/19 21:40	75	334	TRUE	FALSE
KateRyanPhotos	143	463	"New York, NY"	https://twitter.com/KateRyanPhotos	"Creator of Signed, X.  International journalist reporting on human rights, women's health, and immigration."	5/11/14 1:11	150	25	FALSE	FALSE
samaz71usa	55	2054	"Arizona, USA"	https://twitter.com/samaz71usa	My hero Amir born 4/16/74 to 8/29/16 4 a younger brother I am belittled 2 his being father of 4 kids he is my G.O.A.T.just started Sam Tech LLC.@Samaniac71	8/11/11 15:33	4	8	FALSE	FALSE
LeeWharton17	1	20	"Shelby, NC"	https://twitter.com/LeeWharton17	"Am a good man with good personality, a single with a kid. Am a Military Force from the U S."	4/4/18 12:40	2	9	TRUE	FALSE
ChucksJawo	266	2849	Republic of The Gambia	https://twitter.com/ChucksJawo	"Hello my dear brothers and sister's, this is my family my siblings and my grandma she is very weak and old that makes me the bread winner of my family,"	12/22/18 14:50	9	8	TRUE	FALSE
roguekad	236	1155	"St Louis, MO"	https://twitter.com/roguekad	"Politically Centerist, Multi Media geek, Network Tech, avid Blacklist, Blindspot, Doctor Who, David Weber & Neil Gaiman fan"	4/27/15 23:16	3119	67592	TRUE	FALSE
juanblanco76	258497	173995	"Fort Collins, CO"	https://twitter.com/juanblanco76	I help entrepreneurs become influencers. Columnist @Inc Magazine. About Me: #Dad #Tennis #Marketer #MBA #MexicanFood	11/19/10 18:24	146881	106347	FALSE	FALSE
KatrinaMFairch3	6	41		https://twitter.com/KatrinaMFairch3		12/18/17 23:50	168	260	TRUE	TRUE
Brian_TWU	198	1264	"Texas, USA"	https://twitter.com/Brian_TWU	"Father of 2 fine young men, 30+ year ✈️ Crew Chief, Strategic Action Coordinator - Transport Workers Union Local 513 @transportworker #Union #1u 🇺🇸"	7/15/17 3:02	463	523	TRUE	FALSE
Seekingtruth33	7	371		https://twitter.com/Seekingtruth33		11/13/18 2:03	331	893	TRUE	FALSE
princeharryMeg3	14	63	"London, England"	https://twitter.com/princeharryMeg3	"Born in London, England, on September 15, 1984,I'm the  second son of Charles."	1/5/19 15:14	3	1	TRUE	FALSE
HallStl	51	286		https://twitter.com/HallStl	"Lawyer working in downtown STL and living in Shrewsbury. Alice’s dad, and Sarah’s boyfriend. Interests include politics, sports and life on the Metrolink."	12/31/18 20:13	240	260	TRUE	FALSE
BriEhsan	390	1123	"Carbondale, IL "	https://twitter.com/BriEhsan	#STL transplant. #Politico. Law student @SIUSchoolofLaw	7/21/10 0:08	1675	9717	FALSE	FALSE
BrcicDavid	16	301		https://twitter.com/BrcicDavid		2/15/13 0:22	15	98	TRUE	FALSE
rrobbydob	293	2246	"St Louis, Missouri"	https://twitter.com/rrobbydob		3/6/09 17:11	7392	5984	FALSE	FALSE
RepAndyLevin	5434	935	"Michigan, USA"	https://twitter.com/RepAndyLevin	"Proud union organizer, workforce policy and green energy leader, human rights advocate and progressive Democrat representing MI's 9th Congressional District."	1/2/19 1:39	194	58	TRUE	FALSE
eggcellenz	59	445	"Newton, Linnnaeus"	https://twitter.com/eggcellenz	SSTC | ANTITRUMP | POLITICALLY MOTIVATED | MINNESOTA | 'NEVER SHALL WE FAIL | KLOBUCHAR 2020 | Don't Criticize Me | Don't Judge Me	9/28/18 1:24	1868	4245	TRUE	FALSE
rolllingwaves	110	385	"Irving Park, Chicago"	https://twitter.com/rolllingwaves	organize & fight	11/14/16 4:39	235	992	FALSE	FALSE
phillaly	66	688		https://twitter.com/phillaly	lizzo stan account	10/2/18 14:15	102	3192	FALSE	FALSE
The1ChrisWagner	5	288	"Missouri, USA"	https://twitter.com/The1ChrisWagner	A hard working honest man wanting to see this country work for has working honest people again!	12/22/18 2:18	95	94	TRUE	FALSE
Keightmurphy	18	330	"Missouri, USA"	https://twitter.com/Keightmurphy	"Smile a lot, Love with your whole heart, Joke around, Be happy, ❌⭕️❌⭕️"	1/1/19 2:39	61	226	TRUE	FALSE
Jeremia83193837	81	2550		https://twitter.com/Jeremia83193837		12/29/18 11:53	2	0	TRUE	FALSE
Abdoulatifsill1	399	4729	The Gambia 	https://twitter.com/Abdoulatifsill1	working hard trying to make the world a better place	12/7/18 1:20	167	665	TRUE	FALSE
stlresist	10091	11104	St. Louis City Is Best	https://twitter.com/stlresist	Resist	1/24/17 14:22	7582	378	TRUE	FALSE
thejayaldred	57	1487		https://twitter.com/thejayaldred		1/25/17 19:38	0	0	FALSE	FALSE
jadunn18	0	1009		https://twitter.com/jadunn18		12/5/18 3:20	0	344	TRUE	TRUE
j_olanike	126	2889		https://twitter.com/j_olanike		8/16/18 14:40	18675	736	TRUE	TRUE
ThisIsAmerica31	20	968	"New York, USA"	https://twitter.com/ThisIsAmerica31	"An Immigrant, a Patriot, an Independent, and 🇺🇸The United States of America 🇺🇸 is the greatest country in the world. PERIOD!"	2/10/17 12:59	920	192	TRUE	FALSE
SamuelSw1287327	100	484		https://twitter.com/SamuelSw1287327		12/11/18 11:03	3	6	TRUE	FALSE
Dalphond	309	1405	"Ypsilanti, MI"	https://twitter.com/Dalphond	anti racism mom 🤓🤰🏼🤱🏼🧑🏼🧑🏼🧒🏼🐕 ethnomusicologist 🎓 🎓substitute teacher🎓 🎓CC BY-NC-ND 4.0 ⌨️✍🏼🧠©️	3/23/09 19:26	2255	1145	FALSE	FALSE
CliffordNaylor	431	1351	"Washington, DC"	https://twitter.com/CliffordNaylor	My hands are in many pots.	7/24/16 17:30	846	519	FALSE	FALSE
JudyFultz2	2732	3609	"Ohio, USA"	https://twitter.com/JudyFultz2	"Proud resister, Grandmother, animal and music lover. want to connect with other resisters! No Dm's please!"	8/21/18 4:30	1560	3142	TRUE	FALSE
I_own_a_minivan	565	1340	California...and proud!	https://twitter.com/I_own_a_minivan	Writer. Twin/singleton mom. Wife. Recovering neurotic. Not necessarily in that order. Let’s stop pretending that any of this makes any sense.	4/22/08 2:37	6801	8123	FALSE	FALSE
Kimo4512	26	1826		https://twitter.com/Kimo4512		9/7/18 12:05	10	12	TRUE	TRUE
Kashland511	347	4998	"Crestview, FL"	https://twitter.com/Kashland511	Dido	9/8/10 6:38	2238	2177	FALSE	FALSE
CWoolschlager	265	414	"Washington, USA"	https://twitter.com/CWoolschlager	#FBR #Resistance In Trump's America you are either an activist or a victim: Choose. PharmD. Owned by 2 cats. Photographer 🌊	12/17/18 20:43	896	1612	FALSE	FALSE
clarenc21394218	315	4966	"Syracuse, NY"	https://twitter.com/clarenc21394218	"hello it,s me clarence iam back"	11/16/18 23:44	1558	142	TRUE	FALSE
RandiRoger1	143	341	"Indianapolis, IN"	https://twitter.com/RandiRoger1		6/12/13 14:42	1060	15150	TRUE	FALSE
yaotengwang	48	4703	TAIWAN	https://twitter.com/yaotengwang	順著天賦做事 逆著個性做人 處事要用理智 待人要用感情 理智面對專業 感性包容社會	9/21/11 15:05	5065	610	TRUE	FALSE
CeesayJoe	33	1193		https://twitter.com/CeesayJoe		12/13/18 13:12	2	41	TRUE	FALSE
davisrich999	12	599	"Florida, NY"	https://twitter.com/davisrich999	", I am a Brigadier general of United States Army working with the 3rd battalion aviation combat brigade command,"	10/24/18 23:21	5	0	FALSE	FALSE
bertyjames001	370	810	"London, England"	https://twitter.com/bertyjames001	(1) Co-zoo keeper of x2 little monkey boys (2) Astonished spectator of world politics (3) Lover of any tune that “slap-a-the-bass mon”	8/6/15 18:37	1257	779	TRUE	FALSE
agnes_jim	5	20		https://twitter.com/agnes_jim		8/10/14 19:20	3	4256	TRUE	TRUE
CMister44	173	5001	"East St Louis, IL"	https://twitter.com/CMister44	Am laying back love to have fun	12/20/18 0:49	3015	7857	TRUE	FALSE
rayesh	24	949	"Maryland, USA"	https://twitter.com/rayesh	"Developer, techWiz, traveller and music lover..."	6/4/09 14:57	143	758	TRUE	FALSE
jimstrand1953	2	205	92582	https://twitter.com/jimstrand1953		11/21/12 17:16	19	472	TRUE	TRUE
Headibyte	1284	4996	Online 	https://twitter.com/Headibyte	Breaking News from HeadibyteNetworks | Trends | Adverts |NB: Retweets are not endorsement |Add +1(850) 400-6410 to your groups to receive news.	11/5/18 0:18	874	575	TRUE	FALSE
JHeinrich20	6	223		https://twitter.com/JHeinrich20		12/20/18 4:01	0	0	TRUE	FALSE
Derick_I2ussell	36	698		https://twitter.com/Derick_I2ussell		4/21/10 3:00	118	14	TRUE	FALSE
MikeLevinCA	107644	14129	"California, USA"	https://twitter.com/MikeLevinCA	"Proud husband/dad, SoCal native, clean energy advocate, environmental attorney, Stanford/Duke alum.  U.S. Representative for CA-49. All tweets by me."	4/28/08 19:30	8200	9494	TRUE	FALSE
ChuckLovelace_3	18	222		https://twitter.com/ChuckLovelace_3		7/16/18 17:34	1	2	TRUE	FALSE
Aluminum_Spoon	36	1612		https://twitter.com/Aluminum_Spoon		1/30/15 5:02	0	472	FALSE	FALSE
anvalrod	133	1425	"West Lafayette, IN"	https://twitter.com/anvalrod	"Proud Presby, Latino, Boilermaker, CHCI Alum, @Shipley4Indiana Alum, & progressive Democrat.""Love radically, serve faithfully, and passionately seek change."""	6/9/14 2:50	4783	12251	FALSE	FALSE
jayoung1892	7698	8457	"Manchester, CT"	https://twitter.com/jayoung1892	"Future U.S. President, former Student Regent. Followed by @CoryBooker and @DanMalloyCT.  Running for #CT13 State House District in 2018. #FBR #Resist"	2/24/14 13:55	294831	120552	FALSE	FALSE
Katie_MJS	8	440		https://twitter.com/Katie_MJS		9/20/10 23:23	49	599	FALSE	FALSE
TristanCarman	520	1457	"Des Moines, IA"	https://twitter.com/TristanCarman	Podcast enthusiast. @SimpsonCollege graduate. Former @fredhubbell staffer. Current @LS2group Account Associate.	6/11/11 20:58	2567	10545	TRUE	FALSE
AFGHANI99740951	19	382	Afghanistan	https://twitter.com/AFGHANI99740951	مین ترکستانلی فیض الله؛1990-نچی میلادی ییل ده کون چیقر ترکستان نینگ فیض آباد کینتینده توغیلدیم!ماستر علوم من!	12/15/18 18:04	2	1	TRUE	FALSE
Anni3LG	3	248		https://twitter.com/Anni3LG		1/28/16 1:45	1	12383	TRUE	TRUE
OliverA33398375	2617	3906		https://twitter.com/OliverA33398375	Spill the tea. Tell the truth. Expose the lies. Actively against the wall and its dangerous impacts Proud supporter of the LGBTQ+ community 🏳️‍🌈 #BetoORourke	12/12/18 18:57	266	864	FALSE	FALSE
izzyzuni	300	1206	"Scottsdale, AZ"	https://twitter.com/izzyzuni	"Life-long Scorpio, singer/performer, IP Manager, Scott Baio H8R, Blue girl in a red state, drops F-bomb on the daily (usually at snowbirds), Trump SUCKS"	11/21/11 8:28	2989	7763	TRUE	FALSE
Cuddtles	939	1247	"Oak Grove, OR"	https://twitter.com/Cuddtles	Granny with edge.🌊 Vive la #Resistance Libtard with a First People's Worldview. We're a family of resisters; Granddaughter & I welcome you to resist with us.🐾🐾🐾	1/20/11 21:51	2160	7873	FALSE	FALSE
mbrooke67	82	720		https://twitter.com/mbrooke67		1/25/12 20:06	623	1828	TRUE	FALSE
Malik55gm	417	2391	"Riyadh, Kingdom of Saudi Arabi"	https://twitter.com/Malik55gm	sensitive  caring honest and traveler	11/11/18 14:36	247	1124	TRUE	FALSE
agc131313	138	356		https://twitter.com/agc131313		9/20/11 17:28	12020	41634	TRUE	FALSE
EduK8one	1590	2362	Chicago IL	https://twitter.com/EduK8one	Freelance Copywriter -Retired Univ. Of Il Extension Educator. Former Chicago Public Schools elementary and high school teacher. #TEAMFOLLOWBACK	5/21/11 19:31	5824	3104	TRUE	FALSE
moonchild_1	935	685	Right here!	https://twitter.com/moonchild_1	"Love Arts & Music (especially Josh Groban's), TRUTH & FAIRNESS. Animal lover extraordinaire! 7/21. Progressive acct: @Lily2000"	1/25/11 22:33	56515	12555	FALSE	FALSE
MaryWerblin	45	452		https://twitter.com/MaryWerblin		8/30/18 12:23	5568	3641	TRUE	TRUE
SchencLouis	352	2544	America	https://twitter.com/SchencLouis	We need to question the Leaders of our Country. Are they providing a safe free world for our children. A Trumpian Government is not! A Democratic Democracy can!	12/22/16 23:37	442	1163	TRUE	FALSE
DevilsAdocate88	2	101		https://twitter.com/DevilsAdocate88	I disagree with everyone. It's not personal.devilsadvoc888@gmail.com	12/13/18 2:07	2	0	TRUE	FALSE
maruping_gontse	31	1016	"Wolmaransstad, South Africa"	https://twitter.com/maruping_gontse	politician	10/23/18 6:06	12	13	TRUE	FALSE
WKerdman	7	27		https://twitter.com/WKerdman		1/24/16 23:25	5	34	TRUE	TRUE
StephanieAUsher	239	810		https://twitter.com/StephanieAUsher		9/14/17 3:38	1072	2809	TRUE	FALSE
r_centerleftpol	207	560		https://twitter.com/r_centerleftpol	"Global politics for Social Liberals and Liberal SocDems. Clowns to the left, jokers to the right, here you are stuck in the middle with me."	3/31/18 18:11	1831	2382	TRUE	FALSE
JusticeHorn_	1326	4614	"Kansas City, MO"	https://twitter.com/JusticeHorn_	UMKC SGA Presidential Candidate ————Leader. Activist. Trailblazer. Politics - Fmr. NCAA WRESTLER - 🏳️‍🌈Huffington Post Interview:	8/13/18 15:09	279	2055	TRUE	FALSE
LovePro94755852	28	1294		https://twitter.com/LovePro94755852		12/9/18 16:09	2	4	TRUE	FALSE
Giddygaddye	14	143	Missouri/Arizona	https://twitter.com/Giddygaddye		6/26/10 4:39	24	32	TRUE	FALSE
Doug92563085	51	1327	San Diego	https://twitter.com/Doug92563085		5/29/15 19:44	2917	102	TRUE	FALSE
jinjun2016	5	213		https://twitter.com/jinjun2016	curious about New things&&common with poor english. father of two children with full of bright hope.	1/20/12 18:15	101	118	TRUE	FALSE
MakDaddy1998	29	98	"Missouri, USA"	https://twitter.com/MakDaddy1998	Black girl living the college dream✨	11/27/18 10:45	25	298	TRUE	FALSE
clay_countydems	51	204	"Liberty, MO"	https://twitter.com/clay_countydems	"Clay County Democrats Central Committee Official Twitter Account - Follow us for events, news, and ways you can help elect Democrats across Clay County, MO!"	12/3/18 17:18	219	69	FALSE	FALSE
ISIE001	79	1211	Bermuda	https://twitter.com/ISIE001	Identifying	1/13/17 14:47	55	5	TRUE	FALSE
kylepwill	136	2673	"Ames, IA"	https://twitter.com/kylepwill	Lecturer @IowaStateU • PhD Candidate @ChapmanCES • VP @CommDevSoc • #CivicEngagement • #CommunityDevelopment • #Education • #Leadership • #SocialJustice	11/24/18 15:15	402	2463	FALSE	FALSE
