Twitter handle/screen name	Number of followers	Number following	Location	Link	Description	Created_At	Statuses_Count	Favourites_Count	Default_Profile	Default_Profile_Image
EthanCrisp	412	664		https://twitter.com/EthanCrisp	Founder of @usagetaway. Proud American. 🇺🇸	6/3/11 4:13	10516	6350	TRUE	FALSE
krisklj	8	68		https://twitter.com/krisklj		1/6/17 14:29	34	189	TRUE	TRUE
Todd77454728	1	30		https://twitter.com/Todd77454728	Old guy	6/6/14 15:27	6	6	TRUE	TRUE
MrPresident2036	192	1463		https://twitter.com/MrPresident2036	"VP of Ops. - I-Engineering, Inc., Adjunct Professor - SHU & Fairfield, Commissioner - @CT_CHRO"	4/2/09 3:58	3007	511	FALSE	FALSE
MaryBollingLive	148	962	"Kansas City, MO"	https://twitter.com/MaryBollingLive	Business Owner Global Network Live	10/29/17 19:11	846	1214	TRUE	FALSE
doublel71	17511	18267	"Arkansas, USA"	https://twitter.com/doublel71	#MAGA #Conservative #TrumpSupporter #AmericaFirst #AllLivesMatter #ChangeOneVote #DrainTheSwamp #BuildTheWall	3/3/17 17:32	24111	10368	TRUE	FALSE
KommaKozzie	138	287	"Missouri, USA"	https://twitter.com/KommaKozzie	My passion for music and other artists. My open internet training that became successful n many ways.  My team strong with 1 ❤ and the ones who study with me	6/6/18 17:14	1787	1728	TRUE	FALSE
MAGAPatriot85	1807	4884	"New Jersey, USA"	https://twitter.com/MAGAPatriot85	God Bless America.	7/25/17 3:03	10885	12729	TRUE	FALSE
BAM15	394	717	"St. Louis, MO"	https://twitter.com/BAM15	"Feminist, Dreamer, Liberal, Resister"	2/25/09 23:58	1743	1231	TRUE	FALSE
SuzPMurphy	128	1196	"Republic, MO"	https://twitter.com/SuzPMurphy	Loan/Grant Specialist @usdaRD 🇺🇸 Married to my best friend ❤️ Passionate about Thoroughbred horse racing 🏇 & Alabama Crimson Tide Football 🐘🏆 🏈	11/16/17 0:56	52	1010	TRUE	FALSE
meda4missouri	701	856	"Jefferson City, MO"	https://twitter.com/meda4missouri	"Organized in 2003, MEDA is the association of Missouri's electric, natural gas, and water Investor-Owned Utilities and their strategic partners."	6/29/11 20:43	547	280	FALSE	FALSE
GaryLeggans	45	71		https://twitter.com/GaryLeggans		10/2/14 12:34	25	36	FALSE	FALSE
GaryRidenhour2	1912	3012	"Missouri, USA"	https://twitter.com/GaryRidenhour2	"Q Army Patriot, Conservative Constitutionalist Christian!  Police Dispatcher/Support Staff,NRA Golden Eagle, GOA Life Member, MAGA!  WWG1WGA!"	2/14/18 13:19	1900	42402	TRUE	FALSE
chegray	51	370	"Missouri, USA"	https://twitter.com/chegray	"God, Family, Corps! God fearing, United States Marine that Loves his Country and his Republican President! (Not to mention the best girlfriend in the world)"	11/6/09 17:33	319	212	TRUE	FALSE
reidreadstweets	462	3786	Mississippi Delta	https://twitter.com/reidreadstweets	"Here to learn. Middle school teacher. Huntsville, AL native, but the Magnolia State is my home. Grad Student w/ @OleMissRebels."	3/5/11 6:40	2192	8487	FALSE	FALSE
CouperEl	2	17		https://twitter.com/CouperEl		6/21/17 20:52	20	121	TRUE	TRUE
jarod_sparacio	279	1929	"Plainfield, IL"	https://twitter.com/jarod_sparacio	"JJC. libertarian. Most tweets about politics, weather, or sports. I’m usually ranting about something you don’t care about. Morally right. All opinions mine."	11/26/18 0:22	3415	14760	TRUE	FALSE
blakewbassham	62	406	"Georgia, USA"	https://twitter.com/blakewbassham	🇺🇸Conservative Activist & Proud Citizen of the Greatest Nation in the History of Civilization🇺🇸	8/18/18 0:48	536	423	FALSE	FALSE
gatrworks	101	1071	"Missouri, USA"	https://twitter.com/gatrworks		7/8/10 11:09	5578	12705	TRUE	TRUE
KnittleSusan	0	6	"Independence, MO"	https://twitter.com/KnittleSusan	Old hippie longing for the 60's. Oh wait protest is back in. Yay	9/8/15 15:53	13	0	TRUE	TRUE
4EVERRUNS	11	29		https://twitter.com/4EVERRUNS		9/5/11 15:33	9	191	FALSE	TRUE
TomTaber	638	1158	Georgia	https://twitter.com/TomTaber	"Retired U.S. Army officer. Vietnam veteran. Conservative. One wife, two children, and two grandchildren.."	6/23/09 23:50	4576	352	FALSE	FALSE
Michael_Hicks01	75	214		https://twitter.com/Michael_Hicks01		10/27/13 5:04	918	2299	TRUE	FALSE
Lurkyton	421	3892	"The Colony, TX"	https://twitter.com/Lurkyton	"This account is meant to study the phenomenon of Social Media and the current rising popularity of right-wing support, by studying the discourse and fake news."	12/2/15 4:36	1567	238	TRUE	FALSE
tebressie	4094	4998	"Missouri, USA"	https://twitter.com/tebressie	Blessed in the USA!Christian conservative #MAGAMusicianRoll Tide Roll	2/8/15 16:28	3444	11279	TRUE	FALSE
SteveWillen	177	1315		https://twitter.com/SteveWillen		4/5/13 10:50	57	22092	TRUE	FALSE
stlfrankly	27	105		https://twitter.com/stlfrankly		7/14/12 23:47	454	670	TRUE	TRUE
RobertJenrick	14370	1161	Nottinghamshire/Westminster	https://twitter.com/RobertJenrick	"Exchequer Secretary to #HMTreasury. Minister for economic growth, infrastructure and tech. Member of Parliament for #Newark."	2/2/14 12:33	4683	1303	FALSE	FALSE
CaseyHadsall1	220	1180		https://twitter.com/CaseyHadsall1		2/6/17 12:26	11008	44600	TRUE	TRUE
CThomasondrums1	72	2189	"Independence, MO"	https://twitter.com/CThomasondrums1	"Christian, drummer, Soldier of Salvation Army, pastor's kid. Love sports, politics, music stuff, hanging out, making people laugh/vice versa. I like chicken."	5/6/13 4:27	775	2093	FALSE	FALSE
TresorYenyi	363	1022		https://twitter.com/TresorYenyi	"Founder of @MwangazaInt. Servant, Writer, Speaker, Author  of Journey to the Heart of Darkness: Remembering Congo's forgotten."	1/6/11 0:04	2280	916	FALSE	FALSE
notreallypc	21	2913		https://twitter.com/notreallypc		12/4/18 20:00	0	0	TRUE	TRUE
Annie_7316	53	700		https://twitter.com/Annie_7316		4/26/18 0:16	1054	770	FALSE	FALSE
marywes05060115	0	7		https://twitter.com/marywes05060115		12/23/18 18:04	67	454	TRUE	TRUE
grantwilson52	900	2121		https://twitter.com/grantwilson52	"Nevada, MO native. 21 years old and love hunting, hanging with friends and family. They call me Boondocks. ΠΚΑ Snap:grantwilson52"	9/27/15 15:54	2747	8436	TRUE	FALSE
NathanCoatneyMO	23	54	"Springfield, MO"	https://twitter.com/NathanCoatneyMO	Future Politician and Conservative-Libertarian🇺🇸                                   WHS Debate🏛	11/30/18 20:43	22	13	TRUE	FALSE
jakobalucas	6	670		https://twitter.com/jakobalucas		12/31/18 5:24	31	954	TRUE	TRUE
GregGebert1	14	445	"St Louis, MO"	https://twitter.com/GregGebert1	"Architect, Project Manager and US Submarine Veteran."	12/22/18 0:56	57	281	TRUE	FALSE
RipRybnikar	241	4124	"Medfield, MA"	https://twitter.com/RipRybnikar	A lifelong master of self-doubt.	5/8/12 14:53	3836	2277	FALSE	FALSE
DrewJSevic	7	135	"iPhone: 38.591259,-90.340523"	https://twitter.com/DrewJSevic		5/2/09 13:01	30	81	TRUE	FALSE
JeffreySKlein1	175	700		https://twitter.com/JeffreySKlein1		12/26/11 2:54	16969	5733	TRUE	FALSE
KarisKairos2	2916	3730	Asgardia	https://twitter.com/KarisKairos2	"#Q #QAnon #WWG1WGA #MAGA “But by the grace of God I am what I am, and his grace to me was not without effect.” 1 Chor. 15:10"	12/8/18 11:15	41588	8701	TRUE	FALSE
SeanJCooksey	39	763	"Washington, DC"	https://twitter.com/SeanJCooksey	"@UChicagoLaw and @TrumanState alum. Proud Missourian. All views mine, but I don't tweet."	12/27/17 22:27	0	7	TRUE	FALSE
April_Barnett	901	3328	"Columbia, Mo"	https://twitter.com/April_Barnett	"Development & Marketing Director at @Rainbow__House Music, Sports, Poetry, Food, Culture & Law of Attraction enthusiast!"	12/8/11 4:30	3264	1276	FALSE	FALSE
ffhjnbccdd	12	374		https://twitter.com/ffhjnbccdd		6/1/16 14:06	166	314	TRUE	TRUE
bjr12777	594	2640	"Ohio, United States."	https://twitter.com/bjr12777	"Well, here I am, the latest Twitter man.  I'm looking forward to using this site. Have made several friends on here already, most of them political."	2/17/11 2:25	4361	259	TRUE	TRUE
jarrydrauch	217	802	"Washington, DC"	https://twitter.com/jarrydrauch	"Proud Floridian. Intern with @DemStateParties at @TheDemocrats. Working to see a better, bluer America!"	8/17/13 15:23	920	42389	FALSE	FALSE
ScottSpellman	564	1827	Missouri	https://twitter.com/ScottSpellman	AGAINST ALL ENEMIES FOREIGN AND DOMESTIC MAGA TRUMP /  PENCE / WE THE PEOPLE ARE THE GOVERNMENT.	6/21/09 16:36	4296	2451	FALSE	FALSE
dbauer3671	119	532	St Louis MO	https://twitter.com/dbauer3671	freelance musician	9/3/08 14:32	2390	2663	FALSE	FALSE
zmeko	138	930	"Harvest, Alabama"	https://twitter.com/zmeko	"Retired minister of music of 45 yrs, husband, dad and proud grandfather of 3 granddaughters. Continuing the journey and doing life."	4/3/09 22:33	1263	743	FALSE	FALSE
Glenburns3	1093	1477		https://twitter.com/Glenburns3	American	2/22/12 17:01	3192	4749	TRUE	FALSE
mikenyc1983	1582	2992	"USA, NYC"	https://twitter.com/mikenyc1983	Retired law enforcement	11/26/14 16:51	27560	23634	TRUE	FALSE
mepstl	2513	1659	St. Louis City	https://twitter.com/mepstl	Wannabe yogi. Voracious reader. Dog lover. Former AmeriCorps Fellow.	3/21/09 19:58	6039	2490	FALSE	FALSE
Chiefsloyalgirl	1769	4873	"Richmond, MO"	https://twitter.com/Chiefsloyalgirl	"Just cuz you heard my name, don't mean you know me!! Only few truly do! #chiefsaremylife & #royalsfan💯🏈♥️♥️😛😛😛"	6/8/18 9:29	193	1275	FALSE	FALSE
bethrogersms	179	477	"Ridgeland, MS"	https://twitter.com/bethrogersms	"Staunch Conservative, Trump Supporter, Christian.  Ecstatic that Hillary Clinton will be nowhere near the White House ever  #MAGA !"	3/19/09 19:58	1151	3445	FALSE	FALSE
AtlantaPatriot	314	1482	"Atlanta, GA & Cebu City, Cebu"	https://twitter.com/AtlantaPatriot	#MAGA I support my President !! I stand with Israel 🇮🇱 🇮🇱 ! Irish 🇮🇪 Italian 🇮🇹 Scottish English 🇬🇧 American 🇺🇸 Phillipinne 🇵🇭 Pro-Life Physician	2/6/17 0:11	2020	18402	TRUE	FALSE
pb5479	275	1348	Lejos de mi corazón	https://twitter.com/pb5479	Not liberal@ 20? No heart! Liberal still@ 30? NO BRAIN! STOP the UN #RefugeeFactory  https://t.co/0hTWHfRfdy#un #onu	8/25/14 19:03	7421	11146	TRUE	FALSE
mybiznpolitics	159	480	United States	https://twitter.com/mybiznpolitics		11/21/16 16:46	27837	8096	TRUE	FALSE
wayne91072279	6	115		https://twitter.com/wayne91072279		8/22/12 17:39	346	277	TRUE	TRUE
darkcho59691425	1684	4968		https://twitter.com/darkcho59691425	love dark chocolate and red wine plus every now and then some cherry wine	4/13/14 21:34	5434	2304	FALSE	FALSE
bruce1campbell	1541	4567		https://twitter.com/bruce1campbell	Entrepeneuer* RealEstateBroker/Investor*Visionary*Listener*Asker*BigBaseballFan*LymeDad	2/24/09 13:03	7773	2871	FALSE	FALSE
TPCallawyXr	1168	3724	"White Marsh, MD"	https://twitter.com/TPCallawyXr	"MAGA🇺🇸 #LivePD #Dodge, Electrician ⚡️Local24,♌️"	9/16/13 21:44	9571	12548	FALSE	FALSE
SonOScrutinizer	496	1183	Planet Earth	https://twitter.com/SonOScrutinizer	Govts. perpetuate themselves through the commission of acts to wit a rational person might find stupid or dangerous. Our govt. is no exception. - FZ	9/10/18 20:02	16031	7137	TRUE	FALSE
Camelotinv	730	823	United States	https://twitter.com/Camelotinv	"International Fraud Investigations, Competitive Intelligence, Counterintelligence, Intelligence Collection, Internet Threats, IP Investigations, and more..."	9/8/09 15:11	943	141	FALSE	FALSE
BearingTruth	11793	12470	Nowhere you need to know.	https://twitter.com/BearingTruth	Followed by no one you know #COTUS1st #RuleOfLaw #RealFedCo #FederalistCoalition #2A #PrinciplesNOTParty #Federalism #III% #ConstitutionFirstLastAlways	11/28/08 0:31	546891	519373	FALSE	FALSE
JennyHull1	38	383	"Kansas City, MO"	https://twitter.com/JennyHull1	A tired wife who rescues dogs	11/25/18 5:00	279	506	TRUE	FALSE
Donna_Wobbe	367	1595	"Missouri, USA"	https://twitter.com/Donna_Wobbe	Government Government Government Government Government Government	12/28/15 10:18	1289	524	TRUE	FALSE
Hamilcar_WI	449	920	"Madison, WI USA"	https://twitter.com/Hamilcar_WI	#Deplorable founding partner of WinningRed LLC. Living in the belly of the beast of liberalism. Hamilcar_WI was my nom de guerre during the Act 10 riots. #MAGA	6/27/09 17:09	2405	10353	FALSE	FALSE
darren_janz	128	529	"Durham, NC"	https://twitter.com/darren_janz	State President at @NCTeenDems and contributor at @PoliticsNC. Correctly predicted 49/50 NC Senate races & 113/120 NC House races in 2018.	5/29/16 16:40	1283	3270	TRUE	FALSE
EdgyGuy4	126	605		https://twitter.com/EdgyGuy4	"Christian, generalist, respecter of life, INTP, seeker of educated perception, systems designer, health nut, balanced empath, media producer."	11/29/18 14:32	1429	1750	FALSE	FALSE
TheCocaineMitch	9	73	Kentucky	https://twitter.com/TheCocaineMitch	Filling boats of Chinapeople with senate majorities and cocaine since 1942	11/28/18 19:51	23	1	TRUE	FALSE
eslovelace	14	601	"Kansas, USA"	https://twitter.com/eslovelace		8/26/10 1:27	135	160	TRUE	FALSE
jefferson66	205	1551	"Seattle, WA"	https://twitter.com/jefferson66	"World traveler. Proud dad. Amazonian. Independent, fiscally conservative, socially liberal. Music maker and dreamer of dreams. (W.W.)"	12/30/08 16:09	2773	3038	FALSE	FALSE
afewcrayons	3511	4629	"Wisconsin, USA"	https://twitter.com/afewcrayons	.🍺⚽️🇺🇸🥓🇺🇸🌮💒🐶	3/20/16 0:01	4623	21580	TRUE	FALSE
LikesToKnowMore	582	1606	USA	https://twitter.com/LikesToKnowMore	"Combating incompetence & corruption in government, and fake news propaganda schemes.🇺🇸DJT🇺🇸"	9/8/16 0:40	7756	15185	FALSE	FALSE
williambutler19	169	3424		https://twitter.com/williambutler19		5/14/09 17:58	414	2091	TRUE	FALSE
fodey12	73	1246	Gambia	https://twitter.com/fodey12	nice boy	11/26/18 22:06	8	6	TRUE	FALSE
Les68633286	0	22		https://twitter.com/Les68633286		9/10/18 6:50	0	1	TRUE	TRUE
MargieMansager	35	144		https://twitter.com/MargieMansager		11/7/16 1:52	3100	9169	TRUE	TRUE
mappelbaum4	67	242		https://twitter.com/mappelbaum4		10/24/14 21:53	138	359	TRUE	FALSE
erbritton	282	2428	"Gonzales, Louisiana"	https://twitter.com/erbritton	"Fan of LSU and East Ascension athletics. I lost on Jeopardy!, baby..."	5/29/09 21:33	615	8232	TRUE	FALSE
paulcurtman	5128	4132	"New Haven, MO"	https://twitter.com/paulcurtman	Christian. Husband. Father. US Marine. Author. Speaker. Fighting for personal freedom & sound financial principles.	11/6/09 20:44	3535	1656	FALSE	FALSE
wag64boy	1712	2380	KCMO  you know!	https://twitter.com/wag64boy	"Father of 7 great kids, husband to one wonderful wife, papa to two beautiful granddaughters and friend to many. Blocked by many libsKAG. #MAGA  #prolife  #2A"	4/30/09 3:17	3628	11260	TRUE	FALSE
afghanvet0531b	23	141	"Columbia, Mo."	https://twitter.com/afghanvet0531b		1/15/18 0:28	4610	4658	TRUE	FALSE
jqscholtz	13	368	"Washington, DC"	https://twitter.com/jqscholtz		11/13/15 21:44	27	152	TRUE	FALSE
joemodlin3	19	504		https://twitter.com/joemodlin3		1/9/18 15:54	0	12	TRUE	TRUE
GraceLodes	357	684		https://twitter.com/GraceLodes	"Heaven-spun creation, His pride and adoration, treasure woven by His love"	11/23/13 19:54	1436	13184	FALSE	FALSE
GrundinJohn	374	618	"O'Fallon, MO"	https://twitter.com/GrundinJohn	"#pro-life,2nd amendment,build the wall,# destroy P.C.culture,creationist,#common sense,#drain the swamp,# start the indictments"	7/9/17 0:59	2002	1545	TRUE	FALSE
Bill70465349	154	1011	"Ava, MO"	https://twitter.com/Bill70465349	"100% Trump Supporter! Love my country! #MAGA. Love the Red, White & Blue Music Lover Support small government Working to make a living and proud of it!!"	10/27/18 1:18	58	882	TRUE	TRUE
DeMarshDuncan	1069	2584	United States of America	https://twitter.com/DeMarshDuncan	James Madison University. Former RPOF staff. Movie theatre enthusiast. Jeep freak. Pro-Liberty.	6/15/14 18:09	4390	9302	TRUE	FALSE
RandyBowden11	6	73	"Trenton, MO"	https://twitter.com/RandyBowden11		11/7/18 17:03	21	186	TRUE	FALSE
lancebeshore	40	417		https://twitter.com/lancebeshore		11/22/11 0:04	11	66	TRUE	TRUE
ShobhitOficial	201	5000		https://twitter.com/ShobhitOficial	"Indian, Record Producer, Singer Check it out 👇"	7/13/16 6:38	949	60	FALSE	FALSE
RLE1987	209	2688	"ï¿½T: 39.198223,-94.55075"	https://twitter.com/RLE1987	Friends are underrated	4/21/09 19:59	611	757	TRUE	FALSE
KurtisG78	1172	425	"Saline County, MO "	https://twitter.com/KurtisG78	Played football at MIZZOU from 2005-2009. Halftime and postgame analyst for MIZZOU FB radio. Husband of @kellakk. Farmer. Cattleman. Conservative.	7/30/11 3:38	10474	2898	TRUE	FALSE
LA_PHOTOSTUDIO	12193	4895	"Los Angeles, CA"	https://twitter.com/LA_PHOTOSTUDIO	(214) 901-3428On demand Photography.	8/14/15 5:16	0	0	FALSE	FALSE
daniel_rusman	298	2682		https://twitter.com/daniel_rusman	"loves video games, loves movies"	7/25/12 4:57	2933	3743	FALSE	FALSE
pearlmarge1947	7	125		https://twitter.com/pearlmarge1947		10/11/14 3:16	69	608	TRUE	FALSE
BraydenMKelly	130	157		https://twitter.com/BraydenMKelly		8/3/11 2:11	151	309	TRUE	FALSE
AmandaCarey1	2131	1701	"Washington, DC"	https://twitter.com/AmandaCarey1	"Digital for @The_RGA. Formerly of @NRA, @CRC_Digital, & more. Co-Host of the @OfficialNYAF Pod. Lover of country music and the Clemson Tigers Tweets are mine."	8/28/09 3:53	4617	2454	FALSE	FALSE
CoreySi12071990	89	416	"Missouri, USA"	https://twitter.com/CoreySi12071990	"""In my heart there rings a melody of love"""	6/1/16 14:04	1233	1318	TRUE	FALSE
shelley73478982	6	35		https://twitter.com/shelley73478982	i’m a 35 year old single with three children two autistic n i have a pre existing condition. had cancer four times i’m now six years cancer green determined	11/8/18 17:11	27	34	TRUE	FALSE
SonicLockerRm	1137	1259		https://twitter.com/SonicLockerRm	"Radio program highlighting outstanding students, activities and events at 18 KC area high schools on 1030AM KCWJ."	9/13/15 16:05	4585	4773	TRUE	FALSE
UTDallasCR	74	284	"Richardson, TX"	https://twitter.com/UTDallasCR	The Elephant in the room. Retweets are not endorsements.	10/24/15 21:01	1214	2597	FALSE	FALSE
FitzwaterJeff	36	190		https://twitter.com/FitzwaterJeff		6/29/15 15:45	22	165	TRUE	FALSE
tsimmo39	247	551	"Lee's Summit, MO"	https://twitter.com/tsimmo39	College educated white woman	3/6/11 13:52	4678	14608	TRUE	FALSE
mackiemackie	69	340		https://twitter.com/mackiemackie	"I do what I can to help others to do & be their best. I listen to others and do my best to be a positive influence by caring, consulting, encouraging others."	5/31/08 5:28	414	173	TRUE	FALSE
cdjonesy32	10	148		https://twitter.com/cdjonesy32		11/1/11 14:35	244	378	TRUE	FALSE
Greg_Neun	372	3023	St. Charles/Hazelwood Mo.	https://twitter.com/Greg_Neun	Journalism and public relations professional. Tweets are my own.	4/18/09 10:30	8329	15779	FALSE	FALSE
cline_chris	627	2878	Missouri	https://twitter.com/cline_chris	"Husband to Sara, dad and believer in Christ! Love the outdoors and traveling in our RV. weather enthusiast. #MAGA🇺🇸 #RollTide"	8/13/11 1:23	2966	2700	FALSE	FALSE
madmaxdoyle	245	420	Porty	https://twitter.com/madmaxdoyle	"love the selik, up the rhams 🍀🐏   all views my own and do not reflect the opinions of my employer"	6/15/12 19:45	4188	15295	TRUE	FALSE
airplanedriver3	66	355	"Portland, TX"	https://twitter.com/airplanedriver3	"Politics is my cup of tea, Kenny Chesney fan, deplorable, and Americaball approved"	9/15/16 23:50	702	1842	TRUE	FALSE
DeepakNandaVC	89751	75538	"Los Angeles, CA"	https://twitter.com/DeepakNandaVC	#VP at the Los Angeles Venture Fund#Business #Technology #VentureCapital	1/13/10 2:58	48	1	FALSE	FALSE
ArizonaLuke	339	726	South of Heaven	https://twitter.com/ArizonaLuke	Rock. Flag. Eagle.	11/8/18 0:35	3437	3667	FALSE	FALSE
carlHar13503355	305	763	"California, USA"	https://twitter.com/carlHar13503355	"WWG1WGA,Q23, Bring the Pain ,Faith in Jesus Christ, President Donald Trump.. My Hero Gen. Michell Flynn, bacon .USA.ProMilitary ,BUILD THE WALL ,NRA"	11/10/18 12:53	559	665	TRUE	FALSE
RahulAgarwal	39	4018		https://twitter.com/RahulAgarwal		4/6/08 2:23	204	1138	TRUE	FALSE
RUSHfan1981	82	565	"Brevard, NC"	https://twitter.com/RUSHfan1981	"Christ follower, husband, father, Classic Rock affectionado."	10/22/18 23:54	18	135	TRUE	FALSE
Boyd_Copeland	83	164		https://twitter.com/Boyd_Copeland	Just ask....	3/31/11 0:36	159	2	TRUE	FALSE
MeridethTim	34	270		https://twitter.com/MeridethTim		9/30/12 19:28	5	51	TRUE	TRUE
rprez2012	1178	3788	New York	https://twitter.com/rprez2012	I'm 34 from NYC. Professor in political science at NYU. Republican. Donald Trump/Mike Pence 2020 #TeamSuperman #TeamCap	6/21/09 6:03	78844	8384	FALSE	FALSE
JoshGarciaJGG	770	2698	"Georgia, U.S.A"	https://twitter.com/JoshGarciaJGG	"1994 | Conservative Independent | Future Multi-Trillion Dollar Businessman, Entertainer, POTUS & Governor Of Georgia 🤣#DreamBig  #GODFirst I LOVE YOU ALL :) 🇺"	12/11/11 1:13	10949	13989	FALSE	FALSE
LeoF616	43	565	my bedroom	https://twitter.com/LeoF616	"have fun and enjoy your life while you can, because life’s short!!"	1/2/16 16:56	256	398	FALSE	FALSE
DaveVescio	547046	546633	"Hollywood, CA"	https://twitter.com/DaveVescio	I went from Ex-con to Cult Film Icon | Starred in HICK w/ Oscar Winner Eddie Redmayne & Chloe Moretz | Trademark: Movie Villains | https://t.co/bNqjRGe7US	4/26/09 23:12	10058	178037	FALSE	FALSE
carson_hankins	41	1241	"Dexter, MO"	https://twitter.com/carson_hankins		6/6/18 22:05	7	2	TRUE	TRUE
jobyyoung7	77	100		https://twitter.com/jobyyoung7	"God, Family, Lapua"	9/14/18 2:22	96	204	TRUE	FALSE
DAV1DAP	1404	2470	"El Mirage, AZ"	https://twitter.com/DAV1DAP	"Self employed, father of 3 young men and grand father to 6 and a proud Deplorable Proud American Nationalist"	9/19/10 21:31	5763	10588	TRUE	FALSE
VixulusVPG	161	399	Prideful in the US of A	https://twitter.com/VixulusVPG	"The heart of the wise inclines to the right, but the heart of the fool to the left - Ecclesiastes 10:2    Un-official political analyst, aspiring public servant"	5/27/14 5:12	14995	595	TRUE	FALSE
lisakay67	213	1941	OH	https://twitter.com/lisakay67	"Proud Mom, overworked homemaker, cat lover, avid reader, reality TV junkie, nature lover. :)"	5/13/09 1:52	571	3255	FALSE	FALSE
Rogue_Beaver	1208	4140	QC	https://twitter.com/Rogue_Beaver	"Avgeek, #CH, #Pats RTs & likes # endorsements. Views my own."	11/23/12 1:42	429695	47043	FALSE	FALSE
MaxaMooMoo1	8	115	"Arnold, MO"	https://twitter.com/MaxaMooMoo1	"I work with my momma, @rainbowbritte3 #tifsmission, as her Service 🐕 and I like to get around with her at all of her activities too...CHEESEBURGERS!!!"	10/30/18 8:41	43	25	TRUE	FALSE
jonathangelbart	374	1011	"Tempe, AZ"	https://twitter.com/jonathangelbart	"Director of Educational Initiatives and Innovation for @SDOInstitute. Builder of top-ranked @BASISEd school campuses for 10,000 children. Engineer. AZ native."	8/20/09 16:36	400	431	FALSE	FALSE
